Customer ID,Store Name,Transaction Date,Department,Product Name,Quantity,Unit_price,Total amount,Discount Amount,Final Amount,Sales Size,Loyalty Points,Discount Status,Unit Price Status,Quantity Status,Customer Loyality Rating
1006,Quickstop Market,30-03-2024,Canned Goods,Rice,5,22,110,0,110,High Sales,5,No Discount,Medium,Bulk Order,Low Loyality
1009,Corner Grocery,14-11-2024,Beverages,Onions,2,21,42,4,38,Medium Sales,330,Low Discount,Medium,Medium Order,Medium Loyality
1018,Valueplus Market,29-12-2024,Frozen Foods,Onions,3,22,66,13,52,High Sales,478,Medium Discount,Medium,Medium Order,Premium Loyality
1023,Familyfood Express,18-03-2025,Meat & Seafood,Onions,1,28,28,4,23,Medium Sales,381,Low Discount,Medium,Small Order,Medium Loyality
1040,Valueplus Market,11-06-2025,Bakery,Eggs,2,23,46,3,44,Medium Sales,101,Low Discount,Medium,Medium Order,Medium Loyality
1042,Supersave Central,13-03-2024,Health & Wellness,Ground Beef,1,9,9,1,8,Small Sales,35,Low Discount,Low,Small Order,Low Loyality
1043,Quickstop Market,19-06-2024,Health & Wellness,Rice,2,5,10,4,6,Small Sales,391,Low Discount,Low,Medium Order,Medium Loyality
1046,Freshmart Downtown,09-03-2024,Household Items,Pasta,5,17,85,17,70,High Sales,118,Medium Discount,Medium,Bulk Order,Medium Loyality
1049,Supersave Central,08-03-2025,Health & Wellness,Yogurt,3,17,51,5,48,High Sales,307,Low Discount,Medium,Medium Order,Medium Loyality
1053,City Fresh Store,17-02-2025,Frozen Foods,Orange Juice,2,19,38,7,30,Medium Sales,493,Medium Discount,Medium,Medium Order,Premium Loyality
1056,Valueplus Market,16-03-2025,Snacks & Candy,Yogurt,5,20,100,3,96,High Sales,424,Low Discount,Medium,Bulk Order,Premium Loyality
1058,Supersave Central,22-04-2024,Personal Care,Carrots,4,4,16,3,14,Small Sales,147,Low Discount,Low,Medium Order,Medium Loyality
1072,Megamart Westside,04-02-2025,Health & Wellness,Chicken Breast,3,16,48,9,37,Medium Sales,272,Medium Discount,Medium,Medium Order,Medium Loyality
1086,Supersave Central,10-07-2025,Canned Goods,Tomatoes,2,22,44,0,43,Medium Sales,362,No Discount,Medium,Medium Order,Medium Loyality
1090,Freshmart Downtown,30-06-2025,Personal Care,Cheese,4,17,68,14,55,High Sales,68,Medium Discount,Medium,Medium Order,Low Loyality
1096,Corner Grocery,06-05-2024,Canned Goods,Chicken Breast,5,7,35,0,34,Medium Sales,279,No Discount,Low,Bulk Order,Medium Loyality
1100,Valueplus Market,25-12-2023,Frozen Foods,Salmon,5,3,15,3,13,Small Sales,455,Low Discount,Low,Bulk Order,Premium Loyality
1104,Greengrocer Plaza,22-06-2024,Beverages,Tomatoes,2,30,60,12,47,High Sales,293,Medium Discount,Medium,Medium Order,Medium Loyality
