Customer ID,Store Name,Transaction Date,Department,Product Name,Product Grouping,Department Type,Quantity,Unit_price,Total amount,Discount Amount,Final Amount,Sales Size,Loyalty Points,Discount Status,Unit Price Status,Quantity Status
1006,Quickstop Market,30-03-2024,Canned Goods,Rice,Grains,General,5,22,110,0,110,High Sales,5,No Discount,Medium,Bulk Order
1009,Corner Grocery,14-11-2024,Beverages,Onions,Other Items,Drinks,2,21,42,4,38,Medium Sales,330,Low Discount,Medium,Medium Order
1018,Valueplus Market,29-12-2024,Frozen Foods,Onions,Other Items,Food,3,22,66,13,52,High Sales,478,Medium Discount,Medium,Medium Order
1023,Familyfood Express,18-03-2025,Meat & Seafood,Onions,Other Items,Non-Veg,1,28,28,4,23,Medium Sales,381,Low Discount,Medium,Small Order
1040,Valueplus Market,11-06-2025,Bakery,Eggs,Other Items,Food,2,23,46,3,44,Medium Sales,101,Low Discount,Medium,Medium Order
1042,Supersave Central,13-03-2024,Health & Wellness,Ground Beef,Meat,General,1,9,9,1,8,Small Sales,35,Low Discount,Low,Small Order
1043,Quickstop Market,19-06-2024,Health & Wellness,Rice,Grains,General,2,5,10,4,6,Small Sales,391,Low Discount,Low,Medium Order
1046,Freshmart Downtown,09-03-2024,Household Items,Pasta,Grains,General,5,17,85,17,70,High Sales,118,Medium Discount,Medium,Bulk Order
1049,Supersave Central,08-03-2025,Health & Wellness,Yogurt,Dairy Product,General,3,17,51,5,48,High Sales,307,Low Discount,Medium,Medium Order
1053,City Fresh Store,17-02-2025,Frozen Foods,Orange Juice,Other Items,Food,2,19,38,7,30,Medium Sales,493,Medium Discount,Medium,Medium Order
1056,Valueplus Market,16-03-2025,Snacks & Candy,Yogurt,Dairy Product,Food,5,20,100,3,96,High Sales,424,Low Discount,Medium,Bulk Order
1058,Supersave Central,22-04-2024,Personal Care,Carrots,Other Items,General,4,4,16,3,14,Small Sales,147,Low Discount,Low,Medium Order
1072,Megamart Westside,04-02-2025,Health & Wellness,Chicken Breast,Meat,General,3,16,48,9,37,Medium Sales,272,Medium Discount,Medium,Medium Order
1086,Supersave Central,10-07-2025,Canned Goods,Tomatoes,Other Items,General,2,22,44,0,43,Medium Sales,362,No Discount,Medium,Medium Order
1090,Freshmart Downtown,30-06-2025,Personal Care,Cheese,Dairy Product,General,4,17,68,14,55,High Sales,68,Medium Discount,Medium,Medium Order
1096,Corner Grocery,06-05-2024,Canned Goods,Chicken Breast,Meat,General,5,7,35,0,34,Medium Sales,279,No Discount,Low,Bulk Order
1100,Valueplus Market,25-12-2023,Frozen Foods,Salmon,Meat,Food,5,3,15,3,13,Small Sales,455,Low Discount,Low,Bulk Order
1104,Greengrocer Plaza,22-06-2024,Beverages,Tomatoes,Other Items,Drinks,2,30,60,12,47,High Sales,293,Medium Discount,Medium,Medium Order
1106,Valueplus Market,18-03-2025,Frozen Foods,Onions,Other Items,Food,1,21,21,0,21,Medium Sales,58,No Discount,Medium,Small Order
1108,Freshmart Downtown,23-09-2024,Personal Care,Chicken Breast,Meat,General,5,15,75,0,73,High Sales,469,No Discount,Medium,Bulk Order
1126,Valueplus Market,27-08-2024,Beverages,Bananas,Other Items,Drinks,1,11,11,1,10,Small Sales,172,Low Discount,Medium,Small Order
1132,Corner Grocery,19-10-2024,Personal Care,Bread,Other Items,General,1,9,9,0,9,Small Sales,79,No Discount,Low,Small Order
1138,Freshmart Downtown,23-11-2024,Personal Care,Milk,Dairy Product,General,3,4,12,2,9,Small Sales,0,Low Discount,Low,Medium Order
1153,Megamart Westside,05-07-2025,Snacks & Candy,Apples,Other Items,Food,4,29,116,18,100,High Sales,357,Medium Discount,Medium,Medium Order
1154,Valueplus Market,02-02-2025,Frozen Foods,Apples,Other Items,Food,4,15,60,12,47,High Sales,473,Medium Discount,Medium,Medium Order
